date,yr,source,variety,varietyII,Location,County,Comments,loc_full,lon,lat
5/21/2003,2003,Crop,Lady Felicia,NA,Ards,Down,NA,"Ards, Down, UK",-5.6644134,54.6607539
5/31/2003,2003,Crop,Home Guard,NA,"BallyLagen,BClare",Antrim,NA,"BallyLagen,BClare, Antrim, UK",-5.922197,54.758775
6/5/2003,2003,Crop,Kerrs Pink,NA,"Benagh, Kilkeel",Down,protected crop,"Benagh, Kilkeel, Down, UK",-6.0778129,54.0510309
6/6/2003,2003,Crop,Kerrs Pink,NA,Glenkeen Colraine,Londonderry,NA,"Glenkeen Colraine, Londonderry, UK",-7.3052587,54.9948083
6/6/2003,2003,Crop,Home Guard,NA,Pollee B.Mena,Antrim,NA,"Pollee B.Mena, Antrim, UK",-6.121,54.5522
6/7/2003,2003,Crop,Kerrs Pink,NA,Dunamoy B.Clare,Antrim,NA,"Dunamoy B.Clare, Antrim, UK",-6.040817,54.784249
6/13/2003,2003,Crop,British Queen,NA,Kircubin,Down,NA,"Kircubin, Down, UK",-5.5330443,54.4874205
6/17/2003,2003,Crop,Desiree,NA,"Ballinran, Kilkeel",Down,NA,"Ballinran, Kilkeel, Down, UK",-6.1781973,54.094155
6/17/2003,2003,Crop,Kerrs Pink,Maris Piper,Ballymartin Road    Kilkeel,Down,NA,"Ballymartin Road    Kilkeel, Down, UK",-6.0085975,54.061849
6/17/2003,2003,Crop,Kerrs Pink,NA,"Brackway Hall, Kilkeel",Down,NA,"Brackway Hall, Kilkeel, Down, UK",-6.0035024,54.0638493
6/17/2003,2003,Crop,Saxon,NA,"Corercaghan, Kilkeel",Down,NA,"Corercaghan, Kilkeel, Down, UK",-6.007004,54.0631154
6/17/2003,2003,Crop,Kerrs Pink,NA,"Derryogue, Kilkeel",Down,NA,"Derryogue, Kilkeel, Down, UK",-6.0235365,54.0464164
6/17/2003,2003,Crop,British Queen,NA,"Kilbride, BClare",Antrim,NA,"Kilbride, BClare, Antrim, UK",-6.0517581,54.7601411
6/19/2003,2003,Crop,Kerrs Pink,NA,"Corrowreagh Rd,  Garvagh",Londonderry,NA,"Corrowreagh Rd,  Garvagh, Londonderry, UK",-6.6437607,54.9866099
6/20/2003,2003,Crop,Home Guard,NA,"Ballylagan, Ballynure",Antrim,NA,"Ballylagan, Ballynure, Antrim, UK",-5.908709,54.7675903
6/20/2003,2003,Crop,NA,NA,Portglenone,Antrim,NA,"Portglenone, Antrim, UK",-6.47,54.8733857
6/26/2003,2003,Crop,Kerrs Pink,NA,"Ballykinler, Downpatrick",Down,NA,"Ballykinler, Downpatrick, Down, UK",-5.79881,54.25794
6/26/2003,2003,Crop,Up to Date,NA,"Brone, Garvagh",Londonderry,NA,"Brone, Garvagh, Londonderry, UK",-6.687553,54.9833305
6/26/2003,2003,Crop,Dunbar Standard,NA,"Causeway Rd, Bushmills",Antrim,NA,"Causeway Rd, Bushmills, Antrim, UK",-6.5115554,55.2408073
6/27/2003,2003,Crop,Kerrs Pink,NA,"Drumgath, Rathfriland",Down,NA,"Drumgath, Rathfriland, Down, UK",-6.1611478,54.2381042
6/28/2003,2003,Crop,Kerrs Pink,NA,"Ballylaw Strabane, Tyrone",Tyrone,NA,"Ballylaw Strabane, Tyrone, Tyrone, UK",-7.3931141,54.8731066
6/30/2003,2003,Crop,D.Standard,NA,QAB Plots Greenmount,Antrim,NA,"QAB Plots Greenmount, Antrim, UK",-6.2116098,54.6970884
7/1/2003,2003,Garden,NA,NA,Annadale,Down,NA,"Annadale, Down, UK",-5.921,54.569
7/1/2003,2003,Crop,British Queen,NA,Ballyfore Rd Ballynure,Antrim,NA,"Ballyfore Rd Ballynure, Antrim, UK",-5.8854365,54.7888542
7/1/2003,2003,Garden,King Edward,Sharpes Express,"Castle Espie, Comber",Down,NA,"Castle Espie, Comber, Down, UK",-5.6938263,54.5309976
7/1/2003,2003,Crop,British Queen,NA,Kiltarrif Rathfriland,Down,NA,"Kiltarrif Rathfriland, Down, UK",-6.1700703,54.2330029
7/1/2003,2003,Crop,British Queen,NA,Poyntspass Newry,Down,NA,"Poyntspass Newry, Down, UK",-6.3751393,54.2932434
7/3/2003,2003,Crop,Dundrod,NA,Clough/ Ballymeana,Antrim,NA,"Clough/ Ballymeana, Antrim, UK",-6.28916,54.96622
7/5/2003,2003,Crop,Sante,NA,"Ballyhornan,Downpatrick",Down,NA,"Ballyhornan,Downpatrick, Down, UK",-5.55944,54.3021
7/7/2003,2003,Crop,Desiree,NA,"Draperstown, L.Derry",Londonderry,NA,"Draperstown, L.Derry, Londonderry, UK",-7.3158113,55.0111796
7/7/2003,2003,Crop,Kerrs Pink,NA,"Knockloughrim, Magherafelt",Londonderry,NA,"Knockloughrim, Magherafelt, Londonderry, UK",-6.61158,54.8117
7/7/2003,2003,Crop,Kerrs Pink,NA,"Roshure, L.Derry",Londonderry,NA,"Roshure, L.Derry, Londonderry, UK",-6.6540221,54.763246
7/8/2003,2003,Crop,Kerrs Pink,NA,Gort,Tyrone,NA,"Gort, Tyrone, UK",-6.7703622,54.5039088
7/10/2003,2003,Crop,Nicola,NA,"Carnamoney, Maghera",Londonderry,NA,"Carnamoney, Maghera, Londonderry, UK",-6.767811,54.8221045
7/16/2003,2003,Crop,Dunbar Standard,NA,Ballynariss Lane Dromore,Down,NA,"Ballynariss Lane Dromore, Down, UK",-6.1707757,54.4187764
7/16/2003,2003,Crop,Dunbar Standard,NA,"Doagh, Ballyclare",Antrim,NA,"Doagh, Ballyclare, Antrim, UK",-6.0015221,54.7529144
7/16/2003,2003,Crop,Kerrs Pink,NA,Mid Mourne,Down,NA,"Mid Mourne, Down, UK",-6.0662749,54.1533028
7/17/2003,2003,Crop,Dunbar Standard,NA,Broughshane,Antrim,NA,"Broughshane, Antrim, UK",-6.2102733,54.8925367
7/17/2003,2003,Crop,Desiree,NA,"Careinagh, Kilkeel",Down,NA,"Careinagh, Kilkeel, Down, UK",-6.007004,54.0631154
7/18/2003,2003,Crop,Red Duke of York,NA,"Ballee, Ballymena",Antrim,NA,"Ballee, Ballymena, Antrim, UK",-6.2822026,54.8425724
7/28/2003,2003,Crop,Navan,NA,Cabra,Armagh,NA,"Cabra, Armagh, UK",-6.0661463,54.2270035
7/30/2003,2003,Crop,British Queen,NA,Ballyconnelly Cullybackey,Antrim,NA,"Ballyconnelly Cullybackey, Antrim, UK",-6.4072868,54.8859124
8/5/2003,2003,Crop,Rooster,NA,Doaleap Limivady,L.Derry,NA,"Doaleap Limivady, L.Derry, UK",-7.2988567,55.0012176
8/11/2003,2003,Crop,Rooster,NA,Cookstown,Tyrone,NA,"Cookstown, Tyrone, UK",-6.7443895,54.6418158
8/18/2003,2003,Crop,Dunbar Standard,NA,Cloughmils Antrim,Antrim,NA,"Cloughmils Antrim, Antrim, UK",-6.2072498,54.7195338
6/9/2004,2004,Crop,Kerrs Pink,NA,Ballyscullion Bellaghy,Derry,1 isolated plant.,"Ballyscullion Bellaghy, Derry, UK",-6.4984173,54.8106486
7/5/2004,2004,Crop,Kerrs Pink,NA,Ballinran Kilkeel,Down,1-5 isolated plants,"Ballinran Kilkeel, Down, UK",-6.1781973,54.094155
7/14/2004,2004,Crop,British Queen,NA,Ballyminstra Ahoghill,Antrim,One small patch,"Ballyminstra Ahoghill, Antrim, UK",-6.3497279,54.8385751
7/14/2004,2004,Crop,Kerrs Pink,NA,Killyflush Ballymena,Antrim,1-5 isolated plants,"Killyflush Ballymena, Antrim, UK",-6.2072498,54.7195338
7/14/2004,2004,Crop,Sante,NA,Myroe Limavady,Londonderry,To be confirmed,"Myroe Limavady, Londonderry, UK",-6.97552,55.07753
7/15/2004,2004,Crop,Dunbar Standard,NA,Cloughmills Village,Antrim,One small patch,"Cloughmills Village, Antrim, UK",-6.3325399,54.99904
7/15/2004,2004,Crop,King Edward,NA,Moylarg Cullybackey,Antrim,1-5 isolated plants,"Moylarg Cullybackey, Antrim, UK",-6.3557353,54.9161545
7/19/2004,2004,Crop,British Queen,NA,Portglenone Road R-town,Antrim,More than 5 plants,"Portglenone Road R-town, Antrim, UK",-6.47,54.8733857
7/22/2004,2004,Crop,Pentland Squire,NA,Broughshane,Antrim,1-5 isolated plants,"Broughshane, Antrim, UK",-6.2102733,54.8925367
7/22/2004,2004,Crop,British Queen,NA,Broughshane,Antrim,More than 5 plants,"Broughshane, Antrim, UK",-6.2102733,54.8925367
7/22/2004,2004,Crop,Kerrs Pink,NA,Donemana,Tyrone,Several patches,"Donemana, Tyrone, UK",-7.3132207,54.8736289
7/26/2004,2004,Crop,Up to Date,NA,"Carnlea, Ballyclare",Antrim,One small patch,"Carnlea, Ballyclare, Antrim, UK",-6.0354858,54.7915923
7/27/2004,2004,Crop,Dunbar Standard,NA,"Ballyrobert, Ballyclare",Antrim,1-5 isolated plants,"Ballyrobert, Ballyclare, Antrim, UK",-6.0040463,54.7171582
7/29/2004,2004,Crop,Dunbar Standard,NA,Knockan Rd Broughshane,Antrim,More than 5 plants,"Knockan Rd Broughshane, Antrim, UK",-6.2110459,54.8927971
7/30/2004,2004,Crop,NA,NA,Eglinton,Derry,1-5 isolated plants,"Eglinton, Derry, UK",-7.17831,55.02679
8/2/2004,2004,Crop,Kerrs Pink,NA,80 Sallowilly Rd Claudy,Derry,Details to follow,"80 Sallowilly Rd Claudy, Derry, UK",-7.168433,54.8597901
8/2/2004,2004,Crop,NA,NA,Kilkeel,Down,1-5 isolated plants,"Kilkeel, Down, UK",-6.007004,54.0631154
8/6/2004,2004,GroundKeepers,Kerrs Pink,NA,Donaghcloney,Armagh,NA,"Donaghcloney, Armagh, UK",-6.25826,54.41804
8/8/2004,2004,Garden,Kerrs Pink,NA,"Rosculban, Kesh",Fermanagh,More than 5 plants,"Rosculban, Kesh, Fermanagh, UK",-7.7225138,54.5233599
8/9/2004,2004,Crop,Kerrs Pink,NA,Bushmills,Antrim,1-5 isolated plants,"Bushmills, Antrim, UK",-6.5172267,55.2028537
8/12/2004,2004,Garden,Kerrs Pink,NA,Belfast,Antrim,1-5 isolated plants,"Belfast, Antrim, UK",-5.9302761,54.5964411
8/16/2004,2004,Crop,Rooster,NA,Clough Downpatrick,Down,Several patches,"Clough Downpatrick, Down, UK",-5.83734,54.2912
8/16/2004,2004,Crop,Desiree,NA,Ardglass,Down,More than 5 plants,"Ardglass, Down, UK",-5.6108327,54.2633033
9/1/2004,2004,Crop,Arran Victory,NA,Crossnacreevy,Down,More than 5 plants,"Crossnacreevy, Down, UK",-5.84894,54.55566
9/8/2004,2004,Garden,Milagro,NA,Belfast,Down,1-5 isolated plants,"Belfast, Down, UK",-5.9755855,54.5810153
9/12/2004,2004,Garden,British Queen,NA,Ballygally Rd Larne,Antrim,Widespread in crop,"Ballygally Rd Larne, Antrim, UK",-5.8614087,54.8993103
6/8/2005,2005,Crop,British Queen,NA,"Ballymartin, Newry",Down,NA,"Ballymartin, Newry, Down, UK",-5.95104,54.08314
6/9/2005,2005,Crop,Kerrs Pink,NA,"Benagh, Kilkeel",Down,NA,"Benagh, Kilkeel, Down, UK",-6.0778129,54.0510309
6/15/2005,2005,Crop,Kerrs Pink,NA,"Ballee, Downpatrick",Down,NA,"Ballee, Downpatrick, Down, UK",-5.640046,54.297133
6/21/2005,2005,Crop,NA,NA,"Lisnahilt, Ballymena",Antrim,NA,"Lisnahilt, Ballymena, Antrim, UK",-6.1699129,54.8625721
6/23/2005,2005,Crop,British Queen,NA,"Moyagony, Kilrea",Londonderry,NA,"Moyagony, Kilrea, Londonderry, UK",-6.5555797,54.951589
6/23/2005,2005,Crop,British Queen,NA,Broughshane Ballymena,Antrim,NA,"Broughshane Ballymena, Antrim, UK",-6.2102733,54.8925367
