"","cov","par","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"1","inidoy","phi[1]",6.1044,0.9722,4.2502,6.0694,8.0971,1.04,452
"2","inidoy","phi[2]",-0.0189,0.009,-0.0369,-0.0187,-0.0015,1,4231
"3","inidoy","beta",-0.0137,0.0062,-0.0261,-0.0135,-0.0017,1.04,419
"4","inidoy","theta",20.8974,37.5943,3.092,12.4244,85.4013,1.03,1955
"5","lastdoy","phi[1]",5.7311,2.0127,1.7049,5.7083,9.8756,1.01,172
"6","lastdoy","phi[2]",-0.0232,0.0107,-0.0446,-0.0232,-0.0017,1,2178
"7","lastdoy","beta",-0.0074,0.0089,-0.0256,-0.0074,0.0106,1.01,168
"8","lastdoy","theta",9.9667,10.6152,1.9566,7.3635,32.8934,1.02,2879
"9","proprain_foi","phi[1]",3.3602,1.7195,0.0557,3.3107,6.9376,1.01,299
"10","proprain_foi","phi[2]",-0.021,0.0163,-0.0553,-0.0204,0.0106,1.01,449
"11","proprain_foi","beta",0.0323,0.075,-0.1199,0.0341,0.1767,1.01,310
"12","proprain_foi","theta",8.2353,6.8316,1.6945,6.563,24.8237,1.01,3783
"13","sumrain_foi","phi[1]",4.2663,1.0867,2.1982,4.258,6.4861,1,775
"14","sumrain_foi","phi[2]",-0.0277,0.0143,-0.0578,-0.0275,-4e-04,1,1010
"15","sumrain_foi","beta",-0.0074,0.0402,-0.0887,-0.0072,0.0704,1,863
"16","sumrain_foi","theta",7.7467,5.8623,1.7922,6.2879,21.9022,1,4741
"17","proprain_ooi","phi[1]",5.9453,1.9739,2.1349,5.9188,10.2365,1.02,192
"18","proprain_ooi","phi[2]",-0.0282,0.0103,-0.0497,-0.028,-0.0081,1,2519
"19","proprain_ooi","beta",-0.0482,0.05,-0.1553,-0.0476,0.0499,1.02,189
"20","proprain_ooi","theta",8.8241,7.1211,1.9445,7.0061,26.4291,1.01,3587
"21","propfrost_ooi","phi[1]",4.049,0.2932,3.4904,4.0385,4.6825,1,4629
"22","propfrost_ooi","phi[2]",-0.0231,0.0096,-0.0427,-0.0229,-0.0044,1,5053
"23","propfrost_ooi","beta",-0.1946,0.1343,-0.4517,-0.1946,0.075,1,5616
"24","propfrost_ooi","theta",12.4797,17.8648,2.3833,8.9475,39.6754,1.23,4232
"25","hellman_ooi","phi[1]",4.296,0.3146,3.7045,4.2888,4.9511,1,4688
"26","hellman_ooi","phi[2]",-0.0311,0.0092,-0.0495,-0.0309,-0.0134,1,4613
"27","hellman_ooi","beta",-0.0127,0.0075,-0.0269,-0.0128,0.0027,1,5609
"28","hellman_ooi","theta",17.9164,40.6524,2.5455,10.5048,67.098,1.26,2616
"29","proprain_gs","phi[1]",4.9488,0.868,3.2028,4.9556,6.6967,1.01,1000
"30","proprain_gs","phi[2]",-0.0286,0.0099,-0.0484,-0.0286,-0.0087,1,3342
"31","proprain_gs","beta",-0.044,0.0403,-0.1254,-0.0444,0.0387,1,1027
"32","proprain_gs","theta",10.9379,12.7031,2.1111,7.9198,37.3584,1.14,3614
"33","sumrain_gs","phi[1]",4.8401,0.7653,3.3296,4.8281,6.4378,1,1366
"34","sumrain_gs","phi[2]",-0.0288,0.0102,-0.0495,-0.0288,-0.0089,1,3588
"35","sumrain_gs","beta",-0.0356,0.0323,-0.1022,-0.0352,0.0291,1.01,1513
"36","sumrain_gs","theta",9.9734,8.3538,2.0083,7.713,31.969,1,4900
"37","sol_rad","phi[1]",6.0875,0.7966,4.5142,6.0876,7.7233,1.01,585
"38","sol_rad","phi[2]",-0.0243,0.0073,-0.0395,-0.0241,-0.0106,1,5551
"39","sol_rad","beta",-0.0273,0.0102,-0.048,-0.0275,-0.0069,1.01,590
"40","sol_rad","theta",61.1106,127.9767,3.8457,21.493,447.0881,1.01,1397
"41","favhours","phi[1]",4.7707,0.8569,3.0246,4.7958,6.4539,1,1014
"42","favhours","phi[2]",-0.0272,0.0099,-0.0471,-0.0271,-0.0072,1,3600
"43","favhours","beta",-6e-04,7e-04,-0.0019,-6e-04,8e-04,1,1065
"44","favhours","theta",10.1477,11.903,1.8895,7.4742,33.9027,1.03,3199
